Ano,UF,Capital,RM_RIDE,V2007,VD4016,VD4017,V5002A,V5002A2,V2010,VD3002,VD4002,V1032,V2009
2017,42,NA,NA,2,NA,NA,2,NA,2,0,NA,288.54393494,26
2017,35,NA,NA,1,1300,2600,2,NA,1,4,1,135.83978535,61
2017,21,NA,NA,2,NA,NA,2,NA,4,2,NA,154.38921218,11
2017,52,NA,52,1,1000,1000,2,NA,4,11,1,1146.10657016,36
2017,50,50,NA,2,NA,NA,2,NA,4,11,NA,303.91370153,27
2017,21,NA,NA,1,937,937,2,NA,4,7,1,666.293885,36
2017,23,23,23,2,400,0,2,NA,4,5,1,549.53776363,44
2017,14,NA,NA,1,NA,NA,2,NA,4,NA,NA,108.43257454,2
2017,22,NA,NA,1,300,600,2,NA,4,4,1,503.26329189,53
2017,31,31,31,2,NA,NA,2,NA,4,6,NA,659.64503864,12
2017,52,52,52,2,NA,NA,2,NA,4,10,NA,369.51628008,29
2017,21,NA,NA,2,NA,NA,1,294,4,8,NA,180.16636955,31
2017,23,NA,NA,1,2000,2000,2,NA,4,5,1,384.74368028,66
2017,28,NA,NA,1,NA,NA,2,NA,1,NA,NA,145.70626174,2
2017,33,NA,NA,2,NA,NA,2,NA,2,3,NA,376.08306882,10
2017,35,35,35,2,NA,NA,2,NA,1,8,NA,1681.00915048,66
2017,12,12,NA,1,2500,2500,2,NA,1,8,1,72.98763788,50
2017,35,NA,35,1,1300,1300,2,NA,4,11,1,105.85516315,39
2017,33,NA,NA,1,NA,NA,2,NA,1,0,NA,151.49425908,7
2017,12,NA,NA,1,NA,NA,2,NA,1,6,NA,66.22686381,13
2017,25,NA,NA,2,NA,NA,1,190,4,11,NA,151.79749337,22
2017,24,NA,NA,1,NA,NA,2,NA,2,15,NA,539.67335049,21
2017,32,NA,NA,2,100,100,2,NA,4,11,1,273.15742773,31
2017,26,NA,26,2,NA,NA,2,NA,2,5,NA,505.27203879,80
2017,15,15,15,2,NA,NA,1,124,4,12,2,345.84659539,29
2017,29,NA,NA,1,NA,NA,2,NA,4,1,NA,1079.32650914,17
2017,31,NA,NA,2,NA,NA,2,NA,2,5,NA,1028.46463196,44
2017,29,NA,NA,2,NA,NA,1,150,4,5,NA,307.53317708,22
2017,17,NA,NA,1,NA,NA,2,NA,4,11,2,103.15724224,34
2017,12,12,NA,2,500,500,1,169,4,11,1,64.50921745,26
2017,42,NA,NA,2,NA,NA,2,NA,1,4,NA,235.74633481,10
2017,42,NA,42,1,NA,NA,2,NA,1,3,2,317.07062153,61
2017,12,NA,NA,1,NA,NA,2,NA,4,5,NA,69.54763343,15
2017,17,NA,NA,1,NA,NA,2,NA,4,NA,NA,344.22152756,1
2017,21,NA,NA,1,600,1200,2,NA,4,2,1,432.22222056,48
2017,12,12,NA,2,NA,NA,1,170,4,4,NA,63.83647728,23
2017,35,NA,NA,2,NA,NA,2,NA,1,6,NA,109.6770641,13
2017,33,NA,NA,2,937,937,2,NA,4,9,1,582.019347,49
2017,51,NA,51,1,1500,1500,2,NA,4,11,1,424.87617131,56
2017,33,33,33,1,NA,NA,2,NA,4,3,NA,547.84493402,62
2017,33,NA,NA,1,937,937,2,NA,4,15,1,571.07873274,27
2017,11,11,NA,2,120,120,2,NA,4,11,1,120.71384414,34
2017,53,53,NA,1,NA,NA,2,NA,4,1,NA,326.06683373,8
2017,25,NA,NA,1,NA,NA,2,NA,4,2,NA,187.07010442,11
2017,21,NA,NA,2,NA,NA,1,202,4,8,NA,321.61276529,31
2017,27,NA,NA,1,NA,NA,2,NA,4,5,NA,101.57688151,20
2017,33,33,33,2,NA,NA,2,NA,1,10,NA,239.79502344,17
2017,33,33,33,2,NA,NA,2,NA,1,15,NA,529.40353026,50
2017,21,NA,NA,1,NA,NA,2,NA,4,2,NA,356.48636711,71
2017,22,NA,NA,1,NA,NA,2,NA,4,0,NA,296.22844723,9
2017,41,NA,NA,2,1000,1000,2,NA,1,0,1,477.20767258,40
2017,17,NA,NA,1,937,937,2,NA,4,5,1,364.73811141,44
2017,35,NA,NA,2,NA,NA,2,NA,1,2,NA,517.02994869,68
2017,21,NA,NA,2,NA,NA,2,NA,4,2,NA,108.93482339,9
2017,29,NA,29,1,NA,NA,2,NA,2,9,NA,58.098018,64
2017,35,NA,NA,2,1600,3500,2,NA,4,11,1,1354.03034344,41
2017,53,53,NA,1,NA,NA,2,NA,4,1,2,331.31308197,24
2017,43,43,43,1,NA,NA,2,NA,1,3,NA,446.75348212,82
2017,31,NA,NA,2,NA,NA,1,130,1,9,NA,175.69035593,35
2017,33,NA,33,1,1200,1200,2,NA,2,11,1,525.01146961,40
2017,24,NA,NA,2,937,937,2,NA,4,15,1,665.54822743,25
2017,16,16,16,1,NA,NA,2,NA,4,4,NA,326.6515063,11
2017,29,NA,NA,2,7000,10000,2,NA,4,15,1,90.02073161,53
2017,21,NA,NA,1,NA,NA,2,NA,4,3,NA,130.46200044,14
2017,22,NA,22,1,NA,NA,2,NA,4,2,NA,144.2669909,55
2017,26,NA,NA,2,NA,NA,2,NA,4,0,NA,700.18992756,72
2017,29,NA,NA,2,NA,NA,2,NA,4,8,NA,334.99750314,17
2017,41,NA,NA,1,2500,2500,2,NA,1,13,1,405.83486733,39
2017,13,NA,NA,1,NA,NA,2,NA,4,NA,NA,77.20481175,0
2017,43,NA,NA,2,1500,1500,2,NA,1,15,1,690.92246144,39
2017,41,41,41,1,1500,1500,2,NA,1,11,1,528.15207162,48
2017,23,NA,NA,2,250,250,2,NA,4,11,1,288.2142238,47
2017,23,NA,NA,2,937,937,2,NA,1,8,1,366.93742122,44
2017,33,33,33,2,NA,NA,2,NA,4,9,NA,498.59842012,53
2017,26,NA,NA,2,NA,NA,2,NA,2,7,NA,508.05729512,16
2017,26,NA,NA,1,NA,NA,2,NA,1,NA,NA,513.04555049,4
2017,23,23,23,1,NA,NA,2,NA,1,1,NA,682.19540595,9
2017,28,NA,NA,2,NA,NA,2,NA,4,6,2,110.23403767,15
2017,33,NA,NA,1,NA,NA,2,NA,1,3,NA,327.93090978,9
2017,29,NA,NA,2,NA,NA,2,NA,2,5,NA,1143.19717078,13
2017,21,NA,NA,2,NA,NA,2,NA,1,NA,NA,288.41435335,0
2017,31,NA,NA,2,NA,NA,2,NA,2,NA,NA,239.92193935,0
2017,43,NA,NA,1,NA,NA,2,NA,1,5,NA,192.67913614,62
2017,35,NA,NA,2,2700,2700,2,NA,1,11,1,1220.17640308,52
2017,32,NA,32,1,NA,NA,2,NA,1,3,NA,238.89260773,10
2017,26,NA,NA,1,NA,NA,2,NA,4,3,2,513.04555049,43
2017,21,NA,NA,1,NA,NA,2,NA,4,NA,NA,170.44108575,4
2017,52,NA,52,2,NA,NA,2,NA,4,4,NA,996.37786304,11
2017,35,35,35,1,2500,2500,2,NA,2,5,1,849.90395706,47
2017,24,NA,24,1,NA,NA,2,NA,4,11,NA,425.32910007,39
2017,22,NA,22,2,NA,NA,2,NA,4,0,NA,185.07436782,64
2017,33,33,33,1,8000,8000,2,NA,1,14,1,517.34044311,65
2017,26,NA,26,2,NA,NA,2,NA,4,8,NA,335.35497996,35
2017,32,NA,32,1,NA,NA,2,NA,2,NA,NA,272.85744607,1
2017,13,NA,NA,1,NA,NA,2,NA,4,2,NA,716.41518581,53
2017,12,12,NA,2,NA,NA,2,NA,4,4,NA,137.45156076,65
2017,29,NA,NA,2,NA,NA,2,NA,1,0,NA,848.79430189,86
2017,31,NA,NA,1,1000,950,2,NA,1,8,1,591.38497273,53
2017,27,NA,NA,2,NA,NA,1,120,4,0,NA,214.58686975,61
2017,31,NA,NA,2,937,937,2,NA,4,11,1,792.91072601,19
2017,33,NA,33,1,NA,NA,2,NA,4,11,NA,525.77527073,20
2017,43,NA,NA,2,1300,1300,2,NA,1,11,1,667.34869306,26
2017,41,NA,NA,1,1677,1700,2,NA,4,8,1,426.45075422,27
2017,41,41,41,1,NA,NA,2,NA,1,5,NA,565.97596139,24
2017,35,35,35,2,NA,NA,2,NA,1,4,NA,393.36121048,12
2017,41,41,41,2,NA,NA,2,NA,1,10,NA,421.37787183,27
2017,33,NA,NA,2,NA,NA,2,NA,1,NA,NA,366.41587096,2
2017,22,22,22,1,350,350,2,NA,4,10,1,492.18801678,42
2017,41,NA,NA,2,NA,NA,2,NA,1,0,NA,77.5543326,71
2017,43,NA,NA,1,NA,NA,2,NA,1,7,1,343.4649046,15
2017,21,NA,NA,2,NA,NA,1,78,4,9,NA,147.07374162,31
2017,26,26,26,1,10000,10000,2,NA,1,15,1,749.0185439,56
2017,31,31,31,1,NA,NA,2,NA,1,15,NA,177.26049299,82
2017,22,NA,22,1,NA,NA,2,NA,4,4,NA,201.34278373,79
2017,28,NA,NA,1,NA,NA,2,NA,4,0,NA,168.87637393,14
2017,24,NA,NA,1,NA,NA,2,NA,4,0,NA,276.47976546,77
2017,21,NA,NA,1,NA,NA,2,NA,4,11,2,403.21987489,25
2017,35,NA,NA,2,NA,NA,2,NA,4,1,NA,1162.18207347,8
2017,21,NA,NA,1,400,400,2,NA,4,7,1,108.93482339,56
2017,52,NA,NA,2,NA,NA,2,NA,4,4,1,140.4027963,48
2017,35,NA,NA,1,NA,NA,2,NA,1,4,NA,386.51285121,85
2017,29,NA,NA,1,NA,NA,2,NA,4,11,NA,943.86620787,18
2017,23,NA,NA,2,NA,NA,2,NA,1,0,NA,455.33338268,7
2017,12,12,NA,1,NA,NA,2,NA,4,11,NA,64.50921745,25
2017,27,NA,NA,2,NA,NA,2,NA,4,0,NA,143.56153194,7
2017,11,11,NA,1,NA,NA,2,NA,4,7,NA,140.87314624,62
2017,29,NA,NA,1,NA,NA,2,NA,2,0,NA,271.16858465,6
2017,42,NA,NA,2,3000,3000,2,NA,1,8,1,569.76264807,40
2017,28,28,28,2,970,970,2,NA,4,8,1,147.12388517,54
2017,28,NA,NA,2,NA,NA,2,NA,4,2,NA,262.96736262,58
2017,22,NA,NA,2,NA,NA,2,NA,2,0,NA,226.47455366,7
2017,29,NA,NA,2,500,500,2,NA,2,4,1,760.69011007,52
2017,26,NA,NA,1,NA,NA,2,NA,1,5,2,214.28831666,35
2017,43,NA,NA,2,200,200,1,220,4,1,1,1029.68935393,45
2017,43,NA,43,1,NA,NA,2,NA,1,8,NA,544.01965352,56
2017,41,NA,NA,1,NA,NA,2,NA,1,0,NA,53.78229516,8
2017,33,33,33,1,1000,1500,2,NA,4,8,1,921.20222193,36
2017,41,41,41,2,NA,NA,2,NA,4,3,1,453.39914063,54
2017,21,NA,NA,2,NA,NA,1,285,4,2,NA,52.42328086,32
2017,24,24,24,1,100,100,2,NA,4,0,1,286.85141898,37
2017,25,25,25,2,650,650,2,NA,4,11,1,424.64233008,18
2017,23,NA,NA,1,2029,2029,2,NA,4,7,1,361.57612423,48
2017,23,NA,NA,1,NA,NA,2,NA,4,15,NA,149.90480891,70
2017,29,NA,NA,2,NA,NA,2,NA,1,3,2,590.35590831,20
2017,53,53,NA,2,NA,NA,2,NA,1,15,NA,187.76970919,50
2017,26,NA,NA,1,1600,1600,2,NA,1,8,1,268.9563217,33
2017,13,NA,NA,2,NA,NA,2,NA,1,4,NA,383.05714192,13
2017,26,NA,NA,2,300,400,2,NA,1,15,1,620.12979668,56
2017,35,NA,NA,2,NA,NA,2,NA,1,9,2,1757.28904585,15
2017,17,NA,NA,1,320,320,2,NA,1,0,1,274.95410706,35
2017,21,21,21,1,NA,NA,2,NA,1,9,NA,175.20737919,16
2017,27,27,27,2,NA,NA,1,124,5,5,2,462.07136106,21
2017,35,NA,NA,1,1000,1000,2,NA,1,8,1,624.85467388,60
2017,41,NA,NA,1,NA,NA,2,NA,1,11,NA,213.80782822,54
2017,33,33,33,2,NA,NA,2,NA,1,11,NA,517.34044311,42
2017,52,NA,NA,1,NA,NA,2,NA,4,2,NA,254.01849698,9
2017,21,NA,NA,2,NA,NA,2,NA,1,0,NA,208.01308617,70
2017,31,NA,NA,2,NA,NA,2,NA,1,15,NA,995.03121177,36
2017,21,NA,NA,1,NA,NA,2,NA,1,4,NA,411.51382798,28
2017,24,24,24,1,1800,1800,2,NA,1,15,1,433.22953584,24
2017,50,50,NA,2,937,937,2,NA,1,13,1,343.02904557,30
2017,27,27,27,2,NA,NA,2,NA,4,4,NA,333.8380954,12
2017,26,NA,26,2,NA,NA,2,NA,1,9,NA,697.4032348,42
